title;classification_string;season_episode;episode_title;scene;timecode_scene;object_id;azp_id;json_id;modes_intervention;annotation_count;annotation_date
2040;documentary;;;1;00:01:10-00:06:21;f0162;a_f0162_1;j_f0162_1;Escalation / de-escalation;696;15/11/22
Anthropocene: The Human Epoch;documentary;;;1;00:57:50-01:00:11;f002a;a_f002a_1;j_f002a_1;Unintended Consequences;217;07/11/22
Anthropocene: The Human Epoch;documentary;;;2;01:00:11-01:03:26;f002a;a_f002a_2;j_f002a_2;N/A;606;13/11/22
Anthropocene: The Human Epoch;documentary;;;3;01:03:26-01:06:31;f002a;a_f002a_3;j_f002a_3;Escalation / de-escalation;382;17/11/22
Awake: A Dream from Standing Rock;documentary;;;1;00:00:00-00:04:50;f012a;a_f012a_1;j_f012a_1;"Non-linear temporalities; Post-anthropocentric reperspectivations";915;30/03/23
Awake: A Dream from Standing Rock;documentary;;;2;00:25:38-00:29:46;f012a;a_f012a_2;j_f012a_2;"Disruptive scaling; Post-anthropocentric reperspectivations";713;31/03/23
Awake: A Dream from Standing Rock;documentary;;;3;00:29:46-00:33:45;f012a;a_f012a_3;j_f012a_3;N/A;1810;05/08/24
Awake: A Dream from Standing Rock;documentary;;;4;00:49:20-00:53:00;f012a;a_f012a_4;j_f012a_4;N/A;514;13/01/23
Awake: A Dream from Standing Rock;documentary;;;5;00:57:44-01:01:25;f012a;a_f012a_5;j_f012a_5;Unintended Consequences;962;13/01/23
Awake: A Dream from Standing Rock;documentary;;;6;01:01:25-01:10:07;f012a;a_f012a_6;j_f012a_6;N/A;763;24/01/23
Awake: A Dream from Standing Rock;documentary;;;7;01:19:30-01:23:36;f012a;a_f012a_7;j_f012a_7;Disruptive scaling;1088;18/10/23
Beasts of the Southern Wild;feature film;;;1;00:17:04-00:21:13;f065b;a_f065b_1;j_f065b_1;"Destabilization / Restabilization; Unintended Consequences; Post-anthropocentric reperspectivations";887;20/04/23
Before the Flood;documentary;;;1;00:00:12-00:03:03;f013b;a_f013b_1;j_f013b_1;Escalation / de-escalation;864;09/11/22
Before the Flood;documentary;;;2;00:11:45-00:12:35;f013b;a_f013b_2;j_f013b_2;Escalation / de-escalation;409;17/11/22
Everything Will Change;feature film;;;1;00:54:36-00:57:40;f029e;;;Post-anthropocentric reperspectivations;;12/06/23
First Reformed;feature film;;;1;00:08:43-00:21:15;f059f;a_f059f_1;j_f059f_1;"Escalation / de-escalation; Non-linear temporalities";436;30/03/23
First Reformed;feature film;;;2;01:17:53-01:22:10;f059f;a_f059f_1;j_f059f_1;"Disruptive scaling; Post-anthropocentric reperspectivations";436;30/03/23
How to Blow Up a Pipeline;feature film;;;1;00:18:29-00:19:10;f043h;a_f043h_1;j_f043h_1;Escalation / de-escalation;169;13/11/23
How to Blow Up a Pipeline;feature film;;;2;01:30:42-01:33:18;f043h;a_f043h_2;j_f043h_2;Escalation / de-escalation;362;22/11/23
Inuit Knowledge and Climate Change;documentary;;;1;00:00:54-00:03:54;f026i;a_f026i_1;j_f026i_1;Destabilization / Restabilization;255;24/10/23
Inuit Knowledge and Climate Change;documentary;;;2;00:17:43-00:20:22;f026i;a_f026i_2;j_f026i_2;Destabilization / Restabilization;222;21/06/24
Inuit Knowledge and Climate Change;documentary;;;3;00:41:41-00:44:55;f026i;a_f026i_3;j_f026i_3;Destabilization / Restabilization;249;08/11/23
Inuit Knowledge and Climate Change;documentary;;;4;00:49:24-00:53:13;f026i;a_f026i_4;j_f026i_4;Destabilization / Restabilization;300;22/11/23
La cinquième saison;feature film;;;1;00:24:10-00:28:59;f064l;a_f064l_1;j_f064l_1;"Destabilization / Restabilization; Unintended Consequences";196;04/03/23
Life on Earth;episode;S01E01;The Infinite Variety;1;00:00:00-00:00:32;e125t;a_e125t_1;j_e125t_1;;2;01/01/25
Life on Earth;episode;S01E01;The Infinite Variety;2;00:09:18-00:11:20;e125t;a_e125t_2;j_e125t_2;;623;01/03/25
Life on Earth;episode;S01E01;The Infinite Variety;3;00:11:20-00:16:34;e125t;a_e125t_3;j_e125t_3;;724;01/03/25
Life on Earth;episode;S01E01;The Infinite Variety;4;00:20:05-00:24:33;e125t;a_e125t_4;j_e125t_4;;426;01/03/25
Life on Earth;episode;S01E13;The Compulsive Communicators;1;00:40:29-00:45:18;e137t;a_e137t_1;j_e137t_1;;1415;01/03/25
Life on Earth;episode;S01E13;The Compulsive Communicators;2;00:45:18-00:47:29;e137t;a_e137t_2;j_e137t_2;;1354;01/03/25
